Test Case ID,Page,Test Scenario,Expected Result,Actual Result,Issue Identify Date,ReTesting Date,Issue Solved Date,Status,Comments,User Review
NR_AP_1,Login,"On the login page, there is no option available to reset login credentials in case a user forgets their username or password. This may prevent users from regaining access to their accounts and negatively impact usability.",It is recommended to provide a hyperlink or a button on the login page that allows users to navigate to the password reset page in case they forget their credentials. This will improve user experience and ensure smoother account recovery.,,2026-01-13,,,Pending,,
NR_AP_2,Dashboard,"On the Dashboard screen, the top-right “New Lease” button placeholder border is visible, and the button appears only when the mouse is hovered over it. This may cause confusion for users, as the button is not clearly visible by default.","It is recommended to make the “New Lease” button clearly visible at all times without requiring mouse hover, to improve discoverability and enhance user experience.",,2026-01-13,,,Pending,,
NR_AP_3,Property,"In the Properties section, the Export button is not functioning as expected. Clicking the button does not trigger any action or export process.","It is recommended to enable the Export functionality to allow users to successfully export the data in Excel format, ensuring data can be easily downloaded and used for reporting or analysis purposes.",,2026-01-13,,,Pending,,
NR_AP_4,Property,"In the Properties module, the Import button is not working as expected. Clicking the button does not initiate any import action or prompt the user to upload a file.",Enable import the data from excel format and there should be option to download the import template. It is expected to see this button as action button in which export template and import both option should be available.,,2026-01-13,,,Pending,,
NR_AP_5,Property,"Add New Property - In the Add New Property modal, when a user removes an attached image, the image count is not updated accordingly and remains the same. This results in an incorrect image count being displayed to the user.","It is expected that the image count should update dynamically when a user removes an attached image, ensuring the displayed count accurately reflects the current number of images.",,2026-01-13,,,Pending,,
NR_AP_6,Property,"Add Property Button - In the Add Property feature, the entered data is not being saved. After submitting the form, the property details are not stored or reflected in the system as expected.",It is recommended to ensure the Submit button functions correctly and saves all entered field data successfully upon submission.,,2026-01-13,,,Pending,,
NR_AP_7,Property,"Add your first property - In the “Add Your First Property” screen, previously entered data is displayed; however, clicking on “Create Property” does not save the newly supplied data. As a result, the property is not created as expected.",It is recommended to ensure the Submit button functions correctly and saves all entered field data successfully upon submission.,,2026-01-13,,,Pending,,
NR_AP_8,Property,The “Clear Filters” button is not working as expected. Clicking the button does not reset or clear the applied filters.,"It is recommended that the Clear Filters button should function properly and remove all applied filters, allowing users to view the complete set of data.",,2026-01-13,,,Pending,,
NR_AP_9,Property,"In the Edit Property modal, the Update Property button is not functioning as expected. Clicking the button does not update or save the modified property details.","It is recommended that the Edit Property functionality should save all updated data correctly when the Update Property button is clicked, ensuring changes are reflected in the system.",,2026-01-13,,,Pending,,
NR_AP_10,Property,"In the Edit Property modal, it is not loading the data in the corresponding fields, moreover all the fields are appearing empty except ""Property Features""","It is recommended that when the Edit Property modal is opened, it should automatically load the corresponding property data, allowing users to view and modify existing information accurately.",,2026-01-13,,,Pending,,
